Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
01103,2409.0,33.6,16720.0,21340.0,1337.0,55.50020755500208,5.72851805728518
01104,23635.0,36.0,30053.0,19687.0,6815.0,28.834355828220858,5.072984979902687
01105,11601.0,32.3,17569.0,15259.0,6021.0,51.90069821567106,6.146021894664253
01106,16048.0,46.2,111231.0,55504.0,576.0,3.5892323030907276,2.293120638085743
01107,11304.0,28.8,26772.0,15178.0,4784.0,42.32130219391366,9.660297239915074
01108,28925.0,31.7,38499.0,18875.0,8877.0,30.68971477960242,4.705272255834053
01109,30125.0,27.9,35191.0,15703.0,8071.0,26.79170124481328,4.484647302904564
01118,14774.0,36.8,61112.0,29498.0,2145.0,14.518749153919048,2.930824421280628
01119,13236.0,34.7,47439.0,22681.0,2107.0,15.918706557872468,4.8881837413115745
01128,2798.0,48.3,65977.0,35083.0,55.0,1.9656897784131522,3.645461043602573
01129,6750.0,42.9,63895.0,30597.0,699.0,10.355555555555556,3.3777777777777778
01151,8884.0,32.7,40360.0,18717.0,1936.0,21.79198559207564,5.09905447996398
01199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,
01201,44775.0,44.0,47614.0,30286.0,6415.0,14.32719151312116,4.227805695142378
01220,8211.0,45.8,49777.0,28827.0,910.0,11.082693947144074,3.580562659846547
01222,818.0,49.2,74583.0,39128.0,36.0,4.400977995110025,1.5892420537897312
01223,2351.0,51.8,77857.0,39393.0,141.0,5.997447894512973,3.998298596341982
01224,209.0,49.8,38446.0,22355.0,21.0,10.047846889952153,17.22488038277512
01225,3169.0,48.2,61512.0,33984.0,126.0,3.9760176711896498,5.52224676554118
01226,6839.0,48.9,61063.0,34994.0,678.0,9.91373007749671,3.5239070039479454
01229,86.0,67.4,29000.0,18577.0,5.0,5.813953488372093,0.0
01230,8359.0,49.9,65214.0,37450.0,406.0,4.857040315827252,2.3088886230410335
01235,2671.0,49.6,63000.0,35609.0,208.0,7.787345563459379,2.8828154249344813
01236,1197.0,42.2,57014.0,32948.0,24.0,2.0050125313283207,3.508771929824561
01237,2662.0,46.9,84615.0,33634.0,151.0,5.672426746806912,4.73328324567994
01238,5917.0,46.5,67708.0,33536.0,452.0,7.639006253168835,1.8252492817306067
01240,4493.0,57.2,68948.0,53659.0,163.0,3.6278655686623638,2.2256843979523704
01242,475.0,33.8,81172.0,29336.0,4.0,0.8421052631578947,0.0
01243,333.0,57.3,71979.0,51112.0,25.0,7.5075075075075075,0.6006006006006006
01244,108.0,60.8,55556.0,41983.0,10.0,9.25925925925926,0.0
01245,803.0,55.8,69821.0,49853.0,73.0,9.090909090909092,1.7434620174346203
01247,15703.0,43.6,40928.0,24982.0,2434.0,15.500222887346366,4.801630261733426
01253,742.0,59.8,74554.0,45803.0,39.0,5.256064690026954,2.4258760107816713
01254,977.0,58.3,92083.0,67240.0,71.0,7.267144319344934,2.2517911975435005
01255,859.0,50.2,68636.0,36882.0,33.0,3.8416763678696157,2.561117578579744
01256,764.0,47.3,55375.0,29340.0,63.0,8.24607329842932,3.0104712041884816
01257,2138.0,53.1,59500.0,46014.0,223.0,10.430308699719363,2.432179607109448
01258,357.0,61.7,57917.0,46676.0,28.0,7.8431372549019605,0.0
01259,506.0,60.6,62727.0,58770.0,26.0,5.138339920948616,1.976284584980237
